"","occurrenceID","country","countryCode","stateProvince","locality","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","datasetID",".ok_for_analysis","eventDate","changes","discardReason","ok.2"
"2180","peperomia_net2025_02180","Peru","PE","Junin","Huacapistana",-11.23333,-75.48333,600,"peperomia_net2025",FALSE,"","epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Created minimumElevationInMeters from verbatimElevation; values 5001-15000 treated as feet and converted to meters, >15000 set to NA [2026-04-14]","Change: Coordinates updated through geospatial cross-referencing based on locality match | Change: Administrative division (State/Province) populated via geospatial lookup",TRUE
"2181","peperomia_net2025_02181","United States","US","Puerto Rico","Hawaiian Isl.",18.453872,-67.088376,800,"peperomia_net2025",FALSE,"","epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Created minimumElevationInMeters from verbatimElevation; values 5001-15000 treated as feet and converted to meters, >15000 set to NA [2026-04-14]","Change: Coordinates updated through geospatial cross-referencing based on locality match | Change: Administrative division (State/Province) populated via geospatial lookup",TRUE
"2182","peperomia_net2025_02182","Guatemala","GT","Retalhuleu","San Felipe",14.62460641,-91.596699328,1200,"peperomia_net2025",FALSE,"","epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Created minimumElevationInMeters from verbatimElevation; values 5001-15000 treated as feet and converted to meters, >15000 set to NA [2026-04-14]","Change: Coordinates updated through geospatial cross-referencing based on locality match | Change: Administrative division (State/Province) populated via geospatial lookup",TRUE
"2183","peperomia_net2025_02183","Peru","PE",NA,"",NA,NA,NA,"peperomia_net2025",FALSE,"","epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Created minimumElevationInMeters from verbatimElevation; values 5001-15000 treated as feet and converted to meters, >15000 set to NA [2026-04-14]","Impossible to correct, since no spatial or text location information is available to infer administrative division",TRUE
"2184","peperomia_net2025_02184","Costa Rica","CR",NA,"",NA,NA,NA,"peperomia_net2025",FALSE,"","epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Created minimumElevationInMeters from verbatimElevation; values 5001-15000 treated as feet and converted to meters, >15000 set to NA [2026-04-14]","Impossible to correct, since no spatial or text location information is available to infer administrative division",TRUE
"2185","peperomia_net2025_02185","Dominican Republic","DO","Distrito Nacional","Santo Domingo",18.4720187,-69.9020309,250,"peperomia_net2025",FALSE,"","epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Created minimumElevationInMeters from verbatimElevation; values 5001-15000 treated as feet and converted to meters, >15000 set to NA [2026-04-14]","Change: Coordinates updated through geospatial cross-referencing based on locality match | Change: Administrative division (State/Province) populated via geospatial lookup",TRUE
"2186","peperomia_net2025_02186","Argentina","AR","Salta","Prov Salta",-24.8143128,-65.4358906,600,"peperomia_net2025",FALSE,"","epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Created minimumElevationInMeters from verbatimElevation; values 5001-15000 treated as feet and converted to meters, >15000 set to NA [2026-04-14]","Change: Coordinates updated through geospatial cross-referencing based on locality match | Change: Administrative division (State/Province) populated via geospatial lookup",TRUE
"2187","peperomia_net2025_02187","Costa Rica","CR","Alajuela","Alajuela",10.0187727,-84.2101946,1200,"peperomia_net2025",FALSE,"","epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Created minimumElevationInMeters from verbatimElevation; values 5001-15000 treated as feet and converted to meters, >15000 set to NA [2026-04-14]","Change: Coordinates updated through geospatial cross-referencing based on locality match | Change: Administrative division (State/Province) populated via geospatial lookup",TRUE
"2188","peperomia_net2025_02188","Colombia","CO","Atlantico","El Valle",10.9653451,-74.806795,1000,"peperomia_net2025",FALSE,"","epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Created minimumElevationInMeters from verbatimElevation; values 5001-15000 treated as feet and converted to meters, >15000 set to NA [2026-04-14]","Change: Coordinates updated through geospatial cross-referencing based on locality match | Change: Administrative division (State/Province) populated via geospatial lookup",TRUE
"2189","peperomia_net2025_02189","Costa Rica","CR","Alajuela","San Ramon",10.22496956124,-84.596609009893,500,"peperomia_net2025",FALSE,"","epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Created minimumElevationInMeters from verbatimElevation; values 5001-15000 treated as feet and converted to meters, >15000 set to NA [2026-04-14]","Change: Coordinates updated through geospatial cross-referencing based on locality match | Change: Administrative division (State/Province) populated via geospatial lookup",TRUE
"2190","peperomia_net2025_02190","Costa Rica","CR","Alajuela","San Ramon",10.22496956124,-84.596609009893,1200,"peperomia_net2025",FALSE,"","epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Created minimumElevationInMeters from verbatimElevation; values 5001-15000 treated as feet and converted to meters, >15000 set to NA [2026-04-14]","Change: Coordinates updated through geospatial cross-referencing based on locality match | Change: Administrative division (State/Province) populated via geospatial lookup",TRUE
"2191","peperomia_net2025_02191","Peru","PE","La Libertad","San Roque",-8.1012411,-79.1062721,600,"peperomia_net2025",FALSE,"","epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Created minimumElevationInMeters from verbatimElevation; values 5001-15000 treated as feet and converted to meters, >15000 set to NA [2026-04-14]","Change: Coordinates updated through geospatial cross-referencing based on locality match | Change: Administrative division (State/Province) populated via geospatial lookup",TRUE
"2192","peperomia_net2025_02192","El Salvador","SV",NA,"Volcan de San Salvador",13.73806,-89.2875,1000,"peperomia_net2025",FALSE,"","epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Created minimumElevationInMeters from verbatimElevation; values 5001-15000 treated as feet and converted to meters, >15000 set to NA [2026-04-14]","Change: Coordinates updated through geospatial cross-referencing based on locality match",TRUE
"2193","peperomia_net2025_02193","Bolivia","BO",NA,"",NA,NA,NA,"peperomia_net2025",FALSE,"","epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Created minimumElevationInMeters from verbatimElevation; values 5001-15000 treated as feet and converted to meters, >15000 set to NA [2026-04-14]","Impossible to correct, since no spatial or text location information is available to infer administrative division",TRUE
"2194","peperomia_net2025_02194","Paraguay","PY","Boqueron","Gran Chaco",-23,-60,400,"peperomia_net2025",FALSE,"","change1: Parsed DMS/DDM latitude → decimal degrees. | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Created minimumElevationInMeters from verbatimElevation; values 5001-15000 treated as feet and converted to meters, >15000 set to NA [2026-04-14]","Change: Coordinates updated through geospatial cross-referencing based on locality match | Change: Administrative division (State/Province) populated via geospatial lookup",TRUE
